role,dataset,pred_len,train_ratio,method,runs,mse_mean,mse_std,mae_mean,mae_std
strong-gain,AQShunyi,96,0.1,MA-FRFT numeric prior,3,0.7246357798576355,0.0,0.49854156374931335,0.0
strong-gain,AQShunyi,96,0.1,RCARE-Forecast,3,0.655600368976593,0.00653032006352487,0.47231293718020123,0.0010602001316972246
strong-gain,AQShunyi,96,0.1,TimeMixer,3,0.7141636808713278,0.0037648210246522605,0.49976176023483276,0.001513623604072317
weak/fallback,Flight,336,0.2,MA-FRFT numeric prior,3,0.16864202916622162,0.0,0.2740083634853363,0.0
weak/fallback,Flight,336,0.2,RCARE-Forecast,3,0.16802400847276053,0.0006267334884913012,0.2727384865283966,0.0007659291704449593
weak/fallback,Flight,336,0.2,TimeMixer,3,0.1637497991323471,0.005959468627659674,0.27346332867940265,0.00869094492494218
