dataset,variant,runs,student_mse_mean,student_mse_std,student_mae_mean,student_mae_std,teacher_oracle_mse_mean,teacher_oracle_mse_std,teacher_oracle_mae_mean,teacher_oracle_mae_std,mean_gate_mean,mean_gate_std,mean_reliability_mean,mean_reliability_std
AQShunyi,hybrid,3,0.6613839666048685,0.003988063403288589,0.4732173482577006,0.0011709794982106474,0.4676498969395955,0.008245818853359742,0.394315630197525,0.0041999693479305746,0.5180418888727824,0.01343740729075916,0.8643272121747335,0.01041487160667846
AQShunyi,structured_summary_only,3,0.6543768843015035,0.006029646242933587,0.47150442997614544,0.00047453841270721144,0.48135338226954144,0.011394306578241108,0.40038899580637616,0.00577751551885093,0.5171574552853903,0.007837636939018294,0.8497808972994486,0.0058504915856007695
AQShunyi,template_hash_only,3,0.6612472534179688,0.0008217267864322065,0.47326014439264935,0.0015684672039431627,0.5560061732927958,0.020797536149639067,0.43542428811391193,0.0067673036946278966,0.495076725880305,0.06726120529833875,0.7932716608047485,0.08780077877487025
weather,hybrid,3,0.16387871901194254,0.00188277718552496,0.21172370513280234,0.002337990307553271,0.14967021842797598,0.0038931472899947435,0.1981187711159388,0.005301040362869291,0.6480357845624288,0.023249394398768525,0.8536364436149597,0.012213159774129656
weather,structured_summary_only,3,0.16460973024368286,0.0019696718161059034,0.21298637489477792,0.0031198393198905968,0.14769497513771057,0.0015973993594356434,0.19622724751631418,0.002767550523605278,0.6271438797314962,0.011020950429948807,0.8283013701438904,0.01418496839136628
weather,template_hash_only,3,0.165656844774882,0.0006704550807356323,0.21509296198685965,0.0015968060547358607,0.15637937188148499,0.0038105923059402478,0.20617028574148813,0.0034909483809580184,0.6472938060760498,0.012069147353392966,0.8520673314730326,0.0242836918815308
